case_no,checking_account,credit_history,purpose,credit_amount,savings,employment_duration,gender_status,age,job,risk
329,High,existing paid,radio/tv,4473,<100,>=7,male single,31,skilled,good
330,,existing paid,radio/tv,1068,<100,>=7,male single,28,skilled,good
331,,critical/other existing credit,used car,6615,<100,unemployed,male single,75,high qualify/self emp/mgm,good
332,,critical/other existing credit,education,1864,100<=X<500,1<=X<4,female div/dep/mar,30,skilled,bad
333,,existing paid,new car,7408,100<=X<500,<1,female div/dep/mar,24,high qualify/self emp/mgm,bad
334,,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,female div/dep/mar,24,unskilled resident,bad
335,,no credits/all paid,furniture/equipment,4110,<100,>=7,male single,23,skilled,bad
336,,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,male div/sep,44,high qualify/self emp/mgm,bad
337,,existing paid,radio/tv,2101,<100,<1,female div/dep/mar,23,unskilled resident,good
338,,existing paid,domestic appliance,1275,no known savings,1<=X<4,female div/dep/mar,24,skilled,bad
339,,existing paid,furniture/equipment,4169,<100,1<=X<4,male single,28,skilled,good
340,,existing paid,furniture/equipment,1521,<100,1<=X<4,male div/sep,31,unskilled resident,good
341,,critical/other existing credit,education,5743,<100,<1,female div/dep/mar,24,skilled,good
342,,existing paid,furniture/equipment,3599,<100,4<=X<7,female div/dep/mar,26,unskilled resident,good
343,,existing paid,radio/tv,3213,500<=X<1000,<1,male mar/wid,25,skilled,good
344,,existing paid,business,4439,<100,>=7,male single,33,high qualify/self emp/mgm,good
345,High,existing paid,new car,3949,<100,<1,male single,37,unskilled resident,good
346,,critical/other existing credit,radio/tv,1459,<100,1<=X<4,female div/dep/mar,43,unskilled resident,good
347,,critical/other existing credit,radio/tv,882,<100,<1,male single,23,skilled,good
348,,existing paid,radio/tv,3758,500<=X<1000,unemployed,female div/dep/mar,23,enemy/unskilled non res,good
349,,delayed previously,business,1743,100<=X<500,1<=X<4,male single,34,unskilled resident,good
350,,critical/other existing credit,education,1136,>=1000,>=7,male single,32,skilled,bad
351,,existing paid,domestic appliance,1236,<100,<1,female div/dep/mar,23,skilled,good
352,,existing paid,furniture/equipment,959,<100,1<=X<4,female div/dep/mar,29,skilled,bad
353,,critical/other existing credit,used car,3229,no known savings,unemployed,male single,38,high qualify/self emp/mgm,good
354,,no credits/all paid,radio/tv,6199,<100,1<=X<4,male single,28,skilled,bad
355,,existing paid,education,727,500<=X<1000,>=7,male single,46,skilled,good
356,,existing paid,new car,1246,<100,<1,male single,23,unskilled resident,bad
357,,critical/other existing credit,radio/tv,2331,no known savings,>=7,male single,49,skilled,good
358,,delayed previously,radio/tv,4463,<100,1<=X<4,male single,26,high qualify/self emp/mgm,bad
359,,existing paid,radio/tv,776,<100,1<=X<4,male mar/wid,28,skilled,good
360,,existing paid,furniture/equipment,2406,<100,4<=X<7,female div/dep/mar,23,skilled,bad
361,,existing paid,education,1239,no known savings,1<=X<4,male single,61,skilled,good
362,High,existing paid,radio/tv,3399,no known savings,>=7,male single,37,high qualify/self emp/mgm,good
363,High,delayed previously,new car,2247,<100,1<=X<4,female div/dep/mar,36,skilled,good
364,,existing paid,furniture/equipment,1766,<100,1<=X<4,male mar/wid,21,skilled,good
365,,existing paid,furniture/equipment,2473,<100,unemployed,male single,25,enemy/unskilled non res,bad
366,,existing paid,business,1542,<100,4<=X<7,male single,36,skilled,good
367,,critical/other existing credit,used car,3850,<100,4<=X<7,male single,27,skilled,good
368,,existing paid,furniture/equipment,3650,<100,<1,female div/dep/mar,22,skilled,good
369,,existing paid,furniture/equipment,3446,<100,>=7,male single,42,skilled,bad
370,,existing paid,furniture/equipment,3001,<100,4<=X<7,female div/dep/mar,40,skilled,good
371,,existing paid,new car,3079,no known savings,1<=X<4,male single,36,skilled,good
372,,critical/other existing credit,radio/tv,6070,<100,>=7,male single,33,skilled,good
373,,critical/other existing credit,furniture/equipment,2146,<100,<1,female div/dep/mar,23,skilled,good
374,,critical/other existing credit,new car,13756,no known savings,>=7,male single,63,high qualify/self emp/mgm,good
375,,all paid,other,14782,100<=X<500,>=7,female div/dep/mar,60,high qualify/self emp/mgm,bad
376,,all paid,business,7685,<100,4<=X<7,female div/dep/mar,37,skilled,bad
377,,delayed previously,radio/tv,2320,<100,unemployed,male mar/wid,34,skilled,good
378,,delayed previously,radio/tv,846,no known savings,>=7,male single,36,skilled,good
379,,existing paid,new car,14318,<100,>=7,male single,57,high qualify/self emp/mgm,bad
380,,critical/other existing credit,new car,362,100<=X<500,1<=X<4,female div/dep/mar,52,unskilled resident,good
381,,existing paid,furniture/equipment,2212,no known savings,4<=X<7,male single,39,skilled,good
382,,existing paid,used car,12976,<100,unemployed,female div/dep/mar,38,high qualify/self emp/mgm,bad
383,,existing paid,new car,1283,no known savings,4<=X<7,female div/dep/mar,25,skilled,good
384,High,existing paid,new car,1330,<100,<1,male single,26,skilled,good
385,,delayed previously,business,4272,100<=X<500,1<=X<4,male single,26,unskilled resident,good
386,,critical/other existing credit,radio/tv,2238,<100,1<=X<4,female div/dep/mar,25,skilled,good
387,,existing paid,radio/tv,1126,no known savings,<1,female div/dep/mar,21,skilled,good
388,,critical/other existing credit,furniture/equipment,7374,<100,unemployed,male single,40,high qualify/self emp/mgm,good
389,,critical/other existing credit,business,2326,500<=X<1000,1<=X<4,male single,27,skilled,good
390,,existing paid,business,1449,<100,4<=X<7,female div/dep/mar,27,skilled,good
391,,existing paid,new car,1820,<100,1<=X<4,male mar/wid,30,high qualify/self emp/mgm,good
392,,existing paid,furniture/equipment,983,>=1000,<1,female div/dep/mar,19,unskilled resident,good
393,,existing paid,new car,3249,<100,4<=X<7,male single,39,high qualify/self emp/mgm,good
394,,critical/other existing credit,radio/tv,1957,<100,4<=X<7,female div/dep/mar,31,skilled,good
395,,critical/other existing credit,furniture/equipment,2406,<100,unemployed,male single,31,high qualify/self emp/mgm,good
396,,delayed previously,education,11760,100<=X<500,4<=X<7,male single,32,skilled,good
397,,existing paid,furniture/equipment,2578,<100,unemployed,female div/dep/mar,55,high qualify/self emp/mgm,good
398,,critical/other existing credit,furniture/equipment,2348,<100,1<=X<4,male mar/wid,46,skilled,good
399,,existing paid,new car,1223,<100,>=7,male div/sep,46,skilled,bad
400,,critical/other existing credit,radio/tv,1516,>=1000,1<=X<4,female div/dep/mar,43,unskilled resident,good
401,,existing paid,radio/tv,1473,<100,<1,male mar/wid,-39,skilled,good
402,,critical/other existing credit,business,1887,no known savings,1<=X<4,male mar/wid,28,skilled,good
403,,delayed previously,business,8648,<100,<1,male single,27,skilled,bad
404,,delayed previously,new car,802,<100,1<=X<4,male single,27,unskilled resident,good
405,,delayed previously,new car,2899,no known savings,>=7,male single,43,skilled,good
406,,existing paid,radio/tv,2039,<100,<1,male mar/wid,222,skilled,bad
407,,critical/other existing credit,used car,2197,no known savings,4<=X<7,male single,43,skilled,good
408,,existing paid,radio/tv,10530000,<100,<1,male mar/wid,27,skilled,good
409,,existing paid,radio/tv,3235,500<=X<1000,>=7,male div/sep,26,high qualify/self emp/mgm,good
410,High,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,male mar/wid,28,skilled,bad
411,,existing paid,radio/tv,1967,<100,>=7,female div/dep/mar,20,skilled,good
412,,critical/other existing credit,used car,7253,<100,4<=X<7,male single,35,high qualify/self emp/mgm,good
413,,critical/other existing credit,business,2292,<100,unemployed,male single,42,high qualify/self emp/mgm,bad
414,,existing paid,new car,1597,500<=X<1000,1<=X<4,male single,40,unskilled resident,good
415,,existing paid,new car,1381,no known savings,1<=X<4,female div/dep/mar,35,skilled,bad
416,,critical/other existing credit,used car,5842,<100,>=7,male single,35,skilled,good
417,,existing paid,new car,2579,<100,<1,male single,333,unskilled resident,bad
418,,delayed previously,education,8471,no known savings,1<=X<4,female div/dep/mar,23,skilled,good
419,,existing paid,new car,2782,500<=X<1000,4<=X<7,female div/dep/mar,31,high qualify/self emp/mgm,good
420,,existing paid,new car,1042,no known savings,1<=X<4,female div/dep/mar,33,skilled,bad
421,,existing paid,new car,3186,>=1000,4<=X<7,female div/dep/mar,20,skilled,good
422,,existing paid,used car,2028,no known savings,1<=X<4,male single,30,skilled,good
423,,critical/other existing credit,new car,958,<100,4<=X<7,male single,47,unskilled resident,good
424,,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,male single,34,high qualify/self emp/mgm,good
425,,existing paid,furniture/equipment,2762,no known savings,>=7,female div/dep/mar,25,skilled,bad
426,,existing paid,used car,2779,<100,1<=X<4,male mar/wid,21,good,good
427,,critical/other existing credit,radio/tv,2743,<100,>=7,male single,29,skilled,good
428,,critical/other existing credit,radio/tv,1149,>=1000,1<=X<4,male single,46,skilled,good
429,,existing paid,furniture/equipment,1313,<100,>=7,male single,20,skilled,good
430,,critical/other existing credit,repairs,1190,<100,unemployed,female div/dep/mar,55,enemy/unskilled non res,bad
431,,existing paid,business,3448,<100,4<=X<7,male single,74,unskilled resident,good
432,,existing paid,other,11328,<100,1<=X<4,male single,29,high qualify/self emp/mgm,bad
433,,critical/other existing credit,furniture/equipment,1872,<100,unemployed,male single,36,high qualify/self emp/mgm,good
434,,critical/other existing credit,repairs,2058,<100,1<=X<4,male div/sep,33,skilled,good
435,,existing paid,furniture/equipment,2136,<100,1<=X<4,male single,25,skilled,good
436,,existing paid,radio/tv,1484,no known savings,1<=X<4,male mar/wid,25,skilled,bad
437,,existing paid,repairs,660,500<=X<1000,4<=X<7,male mar/wid,23,unskilled resident,good
438,,critical/other existing credit,new car,1287,>=1000,>=7,female div/dep/mar,37,skilled,good
439,,critical/other existing credit,repairs,3394,<100,unemployed,male single,65,enemy/unskilled non res,good
440,High,all paid,business,609,<100,<1,female div/dep/mar,26,enemy/unskilled non res,bad
441,,existing paid,new car,1884,<100,>=7,male single,39,high qualify/self emp/mgm,good
442,,existing paid,furniture/equipment,1620,<100,1<=X<4,female div/dep/mar,30,skilled,good
443,,delayed previously,other,2629,<100,1<=X<4,male single,29,skilled,good
444,,existing paid,education,719,<100,>=7,male single,41,unskilled resident,bad
445,,critical/other existing credit,furniture/equipment,5096,<100,1<=X<4,female div/dep/mar,30,high qualify/self emp/mgm,bad
446,,critical/other existing credit,education,1244,no known savings,>=7,female div/dep/mar,41,unskilled resident,good
447,,existing paid,new car,1842,<100,<1,female div/dep/mar,34,skilled,bad
448,,existing paid,radio/tv,2576,<100,1<=X<4,male single,35,skilled,good
449,High,existing paid,furniture/equipment,1424,no known savings,>=7,female div/dep/mar,55,high qualify/self emp/mgm,good
450,,delayed previously,repairs,1512,>=1000,1<=X<4,male mar/wid,61,skilled,bad
451,,critical/other existing credit,used car,11054,no known savings,1<=X<4,male single,30,high qualify/self emp/mgm,good
452,,existing paid,radio/tv,518,<100,1<=X<4,female div/dep/mar,29,skilled,good
453,,no credits/all paid,furniture/equipment,2759,<100,>=7,male single,34,skilled,good
454,,existing paid,used car,2670,<100,>=7,male single,35,high qualify/self emp/mgm,good
455,,existing paid,new car,4817,<100,4<=X<7,male single,31,skilled,bad
456,,existing paid,used car,2679,<100,<1,female div/dep/mar,29,high qualify/self emp/mgm,good
457,,critical/other existing credit,new car,3905,<100,1<=X<4,male single,36,skilled,good
458,,existing paid,used car,3386,<100,>=7,male single,35,skilled,bad
459,,existing paid,domestic appliance,343,<100,<1,female div/dep/mar,27,skilled,good
460,,existing paid,radio/tv,4594,<100,<1,male single,32,skilled,good
461,,existing paid,furniture/equipment,3620,<100,1<=X<4,male single,37,good,good
462,,existing paid,new car,1721,<100,<1,male single,36,skilled,good
463,,existing paid,furniture/equipment,3017,<100,<1,female div/dep/mar,34,high qualify/self emp/mgm,good
464,,existing paid,retaining,754,no known savings,>=7,male single,38,skilled,good
465,,existing paid,business,1950,<100,4<=X<7,male single,34,skilled,good
466,,existing paid,used car,2924,<100,1<=X<4,male single,63,skilled,good
467,,delayed previously,radio/tv,1659,<100,<1,female div/dep/mar,29,unskilled resident,bad
468,,delayed previously,radio/tv,7238,no known savings,>=7,male single,32,skilled,good
469,,delayed previously,business,2764,<100,1<=X<4,female div/dep/mar,26,skilled,good
470,,delayed previously,used car,46790000,<100,4<=X<7,male single,35,unskilled resident,good
471,,existing paid,radio/tv,3092000,100<=X<500,<1,male mar/wid,22,skilled,bad
472,,existing paid,education,4480000,<100,<1,female div/dep/mar,23,skilled,bad
473,,existing paid,new car,654,<100,1<=X<4,male single,28,unskilled resident,bad
474,,existing paid,retaining,1238,no known savings,unemployed,male single,36,high qualify/self emp/mgm,good
475,,critical/other existing credit,radio/tv,1245,<100,1<=X<4,male mar/wid,33,skilled,bad
476,,no credits/all paid,furniture/equipment,3114,<100,<1,female div/dep/mar,26,skilled,bad
477,,existing paid,used car,2569,500<=X<1000,1<=X<4,male single,24,skilled,good
478,High,existing paid,radio/tv,5152,<100,4<=X<7,male single,25,skilled,good
479,,existing paid,business,1037,100<=X<500,4<=X<7,male single,39,unskilled resident,good
480,,critical/other existing credit,furniture/equipment,1478,<100,>=7,male single,44,skilled,good
481,,critical/other existing credit,radio/tv,3573,<100,1<=X<4,female div/dep/mar,23,unskilled resident,good
482,,existing paid,new car,1201,<100,<1,male single,26,skilled,good
483,,existing paid,furniture/equipment,3622,>=1000,>=7,female div/dep/mar,57,skilled,good
484,,delayed previously,furniture/equipment,960,>=1000,4<=X<7,female div/dep/mar,30,skilled,good
485,,critical/other existing credit,new car,1163,500<=X<1000,1<=X<4,male single,44,skilled,good
486,,delayed previously,new car,1209,<100,unemployed,male single,47,high qualify/self emp/mgm,bad
487,,existing paid,radio/tv,3077,<100,1<=X<4,male single,52,skilled,good
488,,existing paid,new car,3757,<100,>=7,female div/dep/mar,62,skilled,good
489,,existing paid,new car,1418,100<=X<500,1<=X<4,male single,35,unskilled resident,good
490,,existing paid,new car,3518,<100,1<=X<4,male single,26,skilled,good
491,,critical/other existing credit,radio/tv,1934,<100,>=7,male single,26,skilled,good
492,,no credits/all paid,business,8318,<100,>=7,female div/dep/mar,42,high qualify/self emp/mgm,bad
493,,critical/other existing credit,radio/tv,1237000,100<=X<500,1<=X<4,female div/dep/mar,27,skilled,good
494,,existing paid,radio/tv,368,no known savings,>=7,male single,38,skilled,good
495,,critical/other existing credit,new car,2122,<100,1<=X<4,male single,39,unskilled resident,good
496,,existing paid,furniture/equipment,2996,no known savings,1<=X<4,male mar/wid,20,skilled,bad
497,,existing paid,furniture/equipment,9034,100<=X<500,<1,male single,29,high qualify/self emp/mgm,bad
498,,critical/other existing credit,furniture/equipment,1585,<100,4<=X<7,male single,40,skilled,good
499,,existing paid,radio/tv,1301,<100,>=7,male mar/wid,32,unskilled resident,good
500,High,critical/other existing credit,new car,1323,100<=X<500,>=7,male div/sep,28,skilled,good
501,,existing paid,new car,3123,<100,<1,female div/dep/mar,27,skilled,bad
502,,existing paid,used car,5493,<100,>=7,male single,42,skilled,good
503,High,existing paid,radio/tv,1126,100<=X<500,>=7,male div/sep,49,skilled,good
504,,critical/other existing credit,radio/tv,1216,100<=X<500,<1,male single,38,skilled,bad
505,,existing paid,new car,1207,<100,<1,female div/dep/mar,24,skilled,bad
506,,existing paid,new car,1309,no known savings,1<=X<4,male single,27,unskilled resident,bad
507,High,critical/other existing credit,used car,2360,500<=X<1000,1<=X<4,male single,36,skilled,good
508,,all paid,new car,6850,100<=X<500,unemployed,male single,34,high qualify/self emp/mgm,bad
509,,existing paid,radio/tv,1413,<100,1<=X<4,male mar/wid,28,skilled,good
510,,existing paid,used car,8588,100<=X<500,>=7,male single,45,high qualify/self emp/mgm,good
511,,existing paid,new car,759,<100,4<=X<7,male single,26,skilled,bad
512,,existing paid,used car,4686,<100,1<=X<4,male single,32,high qualify/self emp/mgm,good
513,High,existing paid,business,2687,<100,4<=X<7,male single,26,skilled,good
514,,delayed previously,radio/tv,585,<100,1<=X<4,male mar/wid,20,skilled,good
515,,existing paid,new car,2255,no known savings,<1,male single,54,skilled,good
516,,critical/other existing credit,new car,609,<100,4<=X<7,female div/dep/mar,37,skilled,good
517,,critical/other existing credit,new car,1361,<100,<1,male single,40,unskilled resident,good
518,,critical/other existing credit,furniture/equipment,7127,<100,<1,female div/dep/mar,23,skilled,bad
519,,existing paid,new car,1203,100<=X<500,>=7,male single,43,skilled,good
520,,critical/other existing credit,radio/tv,700,no known savings,>=7,male single,36,skilled,good
521,,critical/other existing credit,repairs,5507,<100,>=7,male single,44,skilled,good
522,,existing paid,radio/tv,3190,<100,1<=X<4,female div/dep/mar,24,skilled,bad
523,,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,male single,53,good,bad
524,,existing paid,used car,3488,100<=X<500,4<=X<7,female div/dep/mar,23,skilled,good
525,,existing paid,radio/tv,1113,<100,1<=X<4,female div/dep/mar,26,unskilled resident,good
526,,existing paid,used car,7966,<100,<1,male single,30,skilled,good
527,,critical/other existing credit,education,1532,100<=X<500,1<=X<4,female div/dep/mar,31,skilled,good
528,,critical/other existing credit,radio/tv,1503,<100,4<=X<7,male single,42,unskilled resident,good
529,,existing paid,radio/tv,2302,<100,1<=X<4,male div/sep,31,skilled,bad
530,,existing paid,new car,662,<100,<1,male single,41,unskilled resident,good
531,,existing paid,education,2273,<100,4<=X<7,male single,32,skilled,good
532,,existing paid,new car,2631,100<=X<500,1<=X<4,female div/dep/mar,28,skilled,bad
533,,delayed previously,used car,1503,<100,1<=X<4,male mar/wid,41,skilled,good
534,,existing paid,radio/tv,1311,100<=X<500,4<=X<7,male mar/wid,26,skilled,good
535,,existing paid,radio/tv,3105,no known savings,<1,male single,25,skilled,good
536,High,critical/other existing credit,education,2319,<100,<1,male div/sep,33,skilled,bad
537,,existing paid,new car,1374,no known savings,unemployed,female div/dep/mar,75,high qualify/self emp/mgm,good
538,,critical/other existing credit,furniture/equipment,3612,<100,>=7,female div/dep/mar,37,skilled,good
539,,existing paid,new car,7763,<100,>=7,male single,42,high qualify/self emp/mgm,bad
540,High,existing paid,furniture/equipment,3049,<100,<1,female div/dep/mar,45,unskilled resident,good
541,,existing paid,radio/tv,1534,<100,<1,male mar/wid,23,skilled,bad
542,,delayed previously,new car,2032,<100,>=7,male single,60,skilled,good
543,,existing paid,furniture/equipment,6350,no known savings,>=7,male single,31,skilled,bad
544,High,existing paid,furniture/equipment,2864,<100,1<=X<4,male single,34,unskilled resident,bad
545,,critical/other existing credit,new car,1255,<100,>=7,male single,61,unskilled resident,good
546,,delayed previously,new car,1333,<100,unemployed,male single,43,skilled,bad
547,,critical/other existing credit,new car,2022,<100,1<=X<4,female div/dep/mar,37,skilled,good
548,,existing paid,radio/tv,1552,<100,4<=X<7,male single,32,skilled,good
549,,all paid,radio/tv,626,<100,1<=X<4,female div/dep/mar,24,unskilled resident,bad
550,,critical/other existing credit,used car,8858,no known savings,4<=X<7,male single,35,skilled,good
551,,critical/other existing credit,repairs,996,no known savings,4<=X<7,female div/dep/mar,23,skilled,good
552,,all paid,radio/tv,1750,500<=X<1000,>=7,male single,45,unskilled resident,good
553,,existing paid,radio/tv,6999,<100,4<=X<7,male mar/wid,34,skilled,bad
554,,critical/other existing credit,new car,1995,100<=X<500,<1,male single,27,skilled,good
555,,existing paid,education,1199,<100,4<=X<7,female div/dep/mar,67,high qualify/self emp/mgm,good
556,,existing paid,radio/tv,1331,<100,<1,male single,22,skilled,bad
557,,no credits/all paid,new car,2278,100<=X<500,<1,female div/dep/mar,28,skilled,bad
558,,no credits/all paid,new car,5003,no known savings,1<=X<4,female div/dep/mar,29,skilled,bad
559,,all paid,furniture/equipment,3552,<100,4<=X<7,male single,27,skilled,bad
560,,critical/other existing credit,furniture/equipment,1928,<100,<1,male single,31,unskilled resident,bad
561,,existing paid,used car,2964,no known savings,>=7,male single,49,skilled,good
562,,all paid,radio/tv,1546,<100,4<=X<7,male single,24,unskilled resident,bad
563,High,delayed previously,radio/tv,683,<100,<1,female div/dep/mar,29,skilled,good
564,,existing paid,new car,12389000,no known savings,1<=X<4,male single,37,skilled,bad
565,,delayed previously,business,4712,no known savings,1<=X<4,male single,37,high qualify/self emp/mgm,good
566,,delayed previously,radio/tv,1553,100<=X<500,4<=X<7,female div/dep/mar,23,skilled,good
567,,existing paid,new car,1372,<100,4<=X<7,male div/sep,3.6,skilled,bad
568,,critical/other existing credit,radio/tv,2578,>=1000,>=7,male single,34,skilled,good
569,,existing paid,radio/tv,3979,no known savings,4<=X<7,male single,41,skilled,good
570,,existing paid,radio/tv,6758,<100,1<=X<4,female div/dep/mar,31,skilled,bad
571,,existing paid,furniture/equipment,3234,<100,<1,female div/dep/mar,23,unskilled resident,bad
572,,critical/other existing credit,radio/tv,5954,<100,4<=X<7,male single,38,skilled,good
573,,existing paid,used car,5433,no known savings,unemployed,female div/dep/mar,26,high qualify/self emp/mgm,good
574,,existing paid,business,806,<100,1<=X<4,female div/dep/mar,22,unskilled resident,good
575,,existing paid,radio/tv,1082,<100,>=7,male single,27,unskilled resident,good
576,,critical/other existing credit,furniture/equipment,2788,<100,4<=X<7,female div/dep/mar,24,skilled,good
577,,existing paid,radio/tv,2930,<100,4<=X<7,female div/dep/mar,27,skilled,good
578,,critical/other existing credit,education,1927,no known savings,1<=X<4,female div/dep/mar,33,skilled,good
579,,critical/other existing credit,new car,2820,<100,<1,male div/sep,27,skilled,bad
580,,existing paid,retaining,937,<100,<1,male mar/wid,27,unskilled resident,good
581,,critical/other existing credit,new car,1056,<100,>=7,male single,thirty,skilled,bad
582,,critical/other existing credit,new car,3124,<100,<1,male single,49,unskilled resident,good
583,,existing paid,furniture/equipment,1388000,<100,1<=X<4,female div/dep/mar,26,skilled,good
584,,existing paid,repairs,2384,<100,<1,male single,33,unskilled resident,bad
585,,existing paid,new car,2133,no known savings,>=7,female div/dep/mar,52,high qualify/self emp/mgm,good
586,,existing paid,furniture/equipment,2039,<100,1<=X<4,female div/dep/mar,20,skilled,bad
587,,critical/other existing credit,new car,2799,<100,1<=X<4,male single,3.6,skilled,good
588,,existing paid,furniture/equipment,1289,<100,1<=X<4,male single,21,unskilled resident,good
589,,existing paid,domestic appliance,1217,<100,1<=X<4,male mar/wid,47,unskilled resident,bad
590,,critical/other existing credit,furniture/equipment,2246,<100,>=7,male single,60,skilled,bad
591,,critical/other existing credit,radio/tv,385,<100,4<=X<7,female div/dep/mar,58,unskilled resident,good
592,,delayed previously,new car,1965,no known savings,1<=X<4,female div/dep/mar,42,skilled,good
593,,existing paid,business,1572,>=1000,>=7,female div/dep/mar,36,unskilled resident,good
594,,existing paid,new car,2718,<100,1<=X<4,female div/dep/mar,20,unskilled resident,bad
595,,all paid,other,1358,no known savings,>=7,male single,40,high qualify/self emp/mgm,bad
596,,all paid,new car,931,100<=X<500,<1,female div/dep/mar,32,unskilled resident,bad
597,,existing paid,new car,1442,<100,4<=X<7,female div/dep/mar,23,skilled,bad
598,,no credits/all paid,business,4241,<100,1<=X<4,male single,36,unskilled resident,bad
599,,critical/other existing credit,new car,2775,<100,4<=X<7,male single,31,skilled,bad
600,,delayed previously,business,3863,<100,1<=X<4,male single,32,skilled,good
601,,existing paid,radio/tv,2329,<100,<1,female div/dep/mar,45,skilled,good
602,,existing paid,furniture/equipment,918,<100,1<=X<4,female div/dep/mar,30,skilled,bad
603,,all paid,education,1837,<100,4<=X<7,female div/dep/mar,34,unskilled resident,bad
604,,existing paid,furniture/equipment,3349,<100,1<=X<4,female div/dep/mar,28,high qualify/self emp/mgm,bad
605,High,existing paid,furniture/equipment,1275,<100,<1,female div/dep/mar,23,skilled,good
606,,all paid,furniture/equipment,2828,500<=X<1000,1<=X<4,male single,22,skilled,good
607,,critical/other existing credit,business,4526,<100,1<=X<4,male single,74,high qualify/self emp/mgm,good
608,,existing paid,radio/tv,2671,100<=X<500,1<=X<4,female div/dep/mar,50,skilled,bad
609,,existing paid,radio/tv,2051,<100,<1,male single,33,skilled,good
610,,existing paid,used car,1300,no known savings,>=7,male single,45,skilled,good
611,,existing paid,domestic appliance,741,100<=X<500,unemployed,female div/dep/mar,22,skilled,bad
612,High,existing paid,new car,1240,100<=X<500,>=7,female div/dep/mar,48,unskilled resident,bad
613,,existing paid,radio/tv,3357,>=1000,<1,female div/dep/mar,29,skilled,good
614,,all paid,used car,3632,<100,1<=X<4,female div/dep/mar,22,skilled,good
615,,delayed previously,furniture/equipment,1808,<100,4<=X<7,female div/dep/mar,22,skilled,bad
616,,no credits/all paid,business,12204,no known savings,1<=X<4,male single,48,high qualify/self emp/mgm,good
617,,delayed previously,radio/tv,9157,no known savings,1<=X<4,male single,27,high qualify/self emp/mgm,good
618,,critical/other existing credit,new car,3676,<100,1<=X<4,male single,37,skilled,good
619,,existing paid,furniture/equipment,3441,100<=X<500,1<=X<4,female div/dep/mar,21,skilled,bad
620,,existing paid,new car,640,<100,1<=X<4,male div/sep,49,unskilled resident,good
621,,critical/other existing credit,business,3652,<100,4<=X<7,male single,27,skilled,good
622,,critical/other existing credit,new car,1530,<100,1<=X<4,male single,32,skilled,bad
623,,existing paid,business,3914,no known savings,1<=X<4,male div/sep,38,skilled,bad
624,,existing paid,furniture/equipment,1858,<100,<1,female div/dep/mar,22,skilled,good
625,,existing paid,radio/tv,2600,<100,1<=X<4,male single,65,skilled,bad
626,,existing paid,radio/tv,1979,no known savings,>=7,male single,35,skilled,good
627,High,existing paid,furniture/equipment,2116,<100,1<=X<4,male single,41,skilled,good
628,,all paid,new car,1437,100<=X<500,4<=X<7,male single,29,skilled,bad
629,,critical/other existing credit,furniture/equipment,4042,500<=X<1000,1<=X<4,male single,36,skilled,good
630,,existing paid,education,3832,no known savings,>=7,male single,64,unskilled resident,good
631,,existing paid,radio/tv,3660,<100,1<=X<4,female div/dep/mar,28,skilled,good
632,,all paid,furniture/equipment,1553,<100,1<=X<4,male single,44,skilled,bad
633,,existing paid,radio/tv,1444,no known savings,<1,male single,23,skilled,good
634,,existing paid,furniture/equipment,1980,<100,<1,female div/dep/mar,19,skilled,bad
635,,existing paid,new car,1355,<100,<1,female div/dep/mar,25,unskilled resident,bad
636,,existing paid,education,1393000,<100,>=7,male single,47,skilled,good
637,,existing paid,radio/tv,1376,500<=X<1000,4<=X<7,female div/dep/mar,28,skilled,good
638,,delayed previously,radio/tv,15653,<100,4<=X<7,male single,21,skilled,good
639,,existing paid,radio/tv,1493,<100,<1,female div/dep/mar,34,skilled,good
640,,delayed previously,radio/tv,4370,<100,4<=X<7,male single,26,skilled,bad
641,,existing paid,education,750,<100,unemployed,female div/dep/mar,27,enemy/unskilled non res,bad
642,,existing paid,repairs,1308,<100,>=7,male single,38,unskilled resident,good
643,,existing paid,education,4623,100<=X<500,1<=X<4,male single,40,high qualify/self emp/mgm,bad
644,,critical/other existing credit,radio/tv,1851,<100,4<=X<7,male mar/wid,33,skilled,good
645,,critical/other existing credit,radio/tv,1880,<100,4<=X<7,male mar/wid,32,high qualify/self emp/mgm,good
646,,delayed previously,business,7980,no known savings,<1,male single,27,skilled,bad
647,,no credits/all paid,furniture/equipment,4583,<100,1<=X<4,male div/sep,32,skilled,good
648,,existing paid,new car,1386,500<=X<1000,1<=X<4,female div/dep/mar,26,skilled,bad
649,High,existing paid,new car,947,<100,4<=X<7,male single,38,skilled,bad
650,,existing paid,education,684,<100,1<=X<4,male single,40,unskilled resident,bad
651,,existing paid,education,7476,<100,4<=X<7,male single,50,high qualify/self emp/mgm,good
652,,existing paid,furniture/equipment,1922,<100,1<=X<4,male single,37,unskilled resident,bad
653,,existing paid,new car,2303,<100,>=7,male single,45,skilled,bad
654,,delayed previously,new car,8086,100<=X<500,>=7,male single,42,high qualify/self emp/mgm,bad
655,,critical/other existing credit,used car,2346,<100,4<=X<7,male single,35,skilled,good
656,,existing paid,new car,3973,<100,unemployed,male single,22,skilled,good
657,,existing paid,new car,888,<100,>=7,male single,41,unskilled resident,bad
